items,Items_id,Sub Category,Items_Category,Price,Discount,Rating,No_of_Review,BuyingProspect
"Tsar Nicoulai Estate Classic White Sturgeon Caviar 2 oz, 3-pack",298,Gift Baskets,9,199.99,0,4.5,261,1174.5
"Chocolate Covered Company Belgian Chocolate Breakable Hearts, 6 count, 20 oz. total ",299,Gift Baskets,9,49.99,0,0,0,0
Mrs. Fields Get Well Soon Bear & Cookie Crate,300,Gift Baskets,9,54.99,0,4.6,265,1219
Stonewall Kitchen New England Morning Batter Bowl Gift Set,301,Gift Baskets,9,59.99,0,4.8,147,705.6
Our Heroes' Care Pack ,302,Gift Baskets,9,56.99,0,4.8,477,2289.6
Heaton Pecans Large Square Chocolate Covered Pecan Tin 3.75 lbs,303,Gift Baskets,9,59.99,0,4.6,106,487.6
"Joe & Seph's Factory Tin Gourmet Popcorn, 2-pack",304,Gift Baskets,9,39.99,0,4.2,8,33.6
"Collin Street Bakery’s Medium Sprinkle-Top DeLuxe Fruitcake, 2-pack",305,Gift Baskets,9,79.99,0,4.4,598,2631.2
Best of Hawaii Gift Set,306,Gift Baskets,9,109.99,0,4.5,41,184.5
"Plaza Osetra Farmed Bulgarian Sturgeon Caviar, 8.8 oz ",307,Gift Baskets,9,379.99,0,4.6,429,1973.4
"Popcornopolis Ultimate Classic Assorted Tall Cones, Variety, 24-count",308,Gift Baskets,9,109.99,0,4.7,1103,5184.1
Plaza Golden Osetra 2 oz Caviar Gift Set,309,Gift Baskets,9,169.99,0,4.5,268,1206
"The Fruit Company ""Happy Birthday"" Fruit Basket",310,Gift Baskets,9,69.99,0,4.4,543,2389.2
TRE Olive Merenda Gift Box,311,Gift Baskets,9,69.99,0,5,1,5
Austin Cake Ball Catering Assortment 48 Cake Balls,312,Gift Baskets,9,89.99,0,4.4,39,171.6
"Tsar Nicoulai Baerii Caviar 2 oz, 3-pack",313,Gift Baskets,9,249.99,0,4.4,451,1984.4
